Year,Pick,Player
1997,48,Catarina Pollini
1997,47,Tajama Abraham
1997,46,Travesa Gant
1997,45,Anita Maxwell
1997,44,Kim Williams
1997,43,Kisha Ford
1997,42,Andrea Congreaves
1997,41,Monique Ambers
1997,40,Umeki Webb
1997,39,Debra Williams
1997,38,Trena Trice
1997,37,Raegan Scott
1997,36,Tina Nicholson
1997,35,Katrina Colleton
1997,34,Chantel Tremitiere
1997,33,Raquel Spurlock
1997,32,Tammy Jackson
1997,31,Denique Graves
1997,30,Tamecka Dixon
1997,29,Merlakia Jones
1997,28,Jessie Hicks
1997,27,Sophia Witherspoon
1997,26,Sharon Manning
1997,25,Tia Jackson
1997,24,Toni Foster
1997,23,Tora Suber
1997,22,Sue Wicks
1997,21,Tami Reiss
1997,20,Eva Nemcova
1997,19,Jamila Wideman
1997,18,Pamela McGee
1997,17,Tina Thompson
1997,16,Haixia Zheng
1997,15,Nancy Lieberman-Cline
1997,14,Mikiko Hagiwara
1997,13,Janeth Arcain
1997,12,Vickie Johnson
1997,11,Michi Atkins
1997,10,Lynette Woodard
1997,9,Wendy Palmer
1997,8,Daedra Charles
1997,7,Bridget Pettis
1997,6,Judy Mosley-McAfee
1997,5,Wanda Guyton
1997,4,Kym Hampton
1997,3,Rhonda Mapp
1997,2,Isabelle Fijalkowski
1997,1,Dena Head
1998,40,Monica Lamb
1998,39,Vanessa Nygaard
1998,38,Karen Wilkins
1998,37,Sonia Chase
1998,36,Tammye Jenkins
1998,35,Erica Kienast
1998,34,Sandy Brondello
1998,33,Angela Jackson
1998,32,Adia Barnes
1998,31,Tricia Bader
1998,30,Amaya Valdemoro
1998,29,Albena Branzova
1998,28,Brandy Reed
1998,27,Pollyanna Johns
1998,26,Tanja Kostic
1998,25,Rehema Stephens
1998,24,Gergana Branzova
1998,23,Angela Hamblin
1998,22,Quacy Barnes
1998,21,LaTonya Johnson
1998,20,Nyree Robert
1998,19,Nadine Domond
1998,18,Andrea Kuklova
1998,17,Christy Smith
1998,16,Suzie McConnell Serio
1998,15,Octavia Blue
1998,14,Raquael Sporn
1998,13,Rita Williams
1998,12,Tangela Smith
1998,11,Olympia Scott-Richardson
1998,10,Polina Tzekova
1998,9,Alicia Thompson
1998,8,Maria Stepanova
1998,7,Tracy Reid
1998,6,Cindy Blodgett
1998,5,Allison Feaster
1998,4,Korie Hlede
1998,3,Murriel Page
1998,2,Ticha Penicheiro
1998,1,Margo Dydek
1999,50,Elaine Powell
1999,49,Angie Potthoff
1999,48,Jennifer Rizzotti
1999,47,Kellie Jolly Harper
1999,46,Amanda Wilson
1999,45,Angie Braziel
1999,44,Carla McGhee
1999,43,Sonja Tate
1999,42,Carolyn Jones-Young
1999,41,Astou Ndiaye
1999,40,La’Keshia Frett
1999,39,Dalma Ivanyi
1999,38,Amy Herrig
1999,37,Jennifer Whittle
1999,36,Kara Wolters
1999,35,Tracy Henderson
1999,34,Lisa Harrison
1999,33,Charlotte Smith-Taylor
1999,32,Taj McWilliams-Franklin
1999,31,Andrea Lloyd-Curry
1999,30,Tamika Whitmore
1999,29,Dominique Canty
1999,28,Ukari Figgs
1999,27,Adrienne Goodson
1999,26,Kate Starbird
1999,25,Andrea Nagy
1999,24,Sonja Henning
1999,23,Mery Andrade
1999,22,Clarissa Davis-Wrightsil
1999,21,Stephanie McCarty
1999,20,Sheri Sam
1999,19,Trisha Fallon
1999,18,Michele Van Gorp
1999,17,Val Whiting
1999,16,Clarisse Machanguana
1999,15,Debbie Black
1999,14,Kedra Holland-Corn
1999,13,Shalonda Enis
1999,12,Natalia Zasulskaya
1999,11,Chasity Melvin
1999,10,Edna Campbell
1999,9,Dawn Staley
1999,8,Tari Phillips
1999,7,Tonya Edwards
1999,6,Crystal Robinson
1999,5,Jennifer Azzi
1999,4,DeLisha Milton-Jones
1999,3,Natalie Williams
1999,2,Yolanda Griffith
1999,1,Chamique Holdsclaw
2000,64,Abbie Willenborg
2000,63,Nicky McCrimmon
2000,62,Jessica Zinobile
2000,61,Natalie Porter
2000,60,Cal Bouchard
2000,59,Shaka Massey
2000,58,Renee Robinson
2000,57,Katrina Hibbert
2000,56,Shanele Stires
2000,55,Rhonda Smith
2000,54,Jana Lichnerova
2000,53,Shantia Owens
2000,52,Roman Hamzova
2000,51,Kristen Rasmussen
2000,50,Latina Davis
2000,49,Sophie Von Saldern
2000,48,Latavia Coleman
2000,47,Marte Alexander
2000,46,Rhonda Banchero
2000,45,Jessica Bibby
2000,44,Chavonne Hammond
2000,43,Peppi Browne
2000,42,Usha Gilmore
2000,41,Kirra Jordan
2000,40,Milena Flores
2000,39,Maxann Reese
2000,38,Phylesha Whaley
2000,37,Tauja Catchings
2000,36,Shawnetta Stewart
2000,35,Stacy Frese
2000,34,Jill Morton
2000,33,Monique Morehouse
2000,32,Andrea Garner
2000,31,Sauer Paige
2000,30,Stacy Clinesmith
2000,29,Desiree Francis
2000,28,Madinah Slaise
2000,27,Tiffany Travis
2000,26,Jurgita Streimikyte
2000,25,Charisse Sampson
2000,24,Keitha Dickerson
2000,23,Stacey Thomas
2000,22,Marla Brumfield
2000,21,Adrain Williams
2000,20,Jannon Roland
2000,19,Jameka Jones
2000,18,Tonya Washington
2000,17,Helen Darling
2000,16,Elena Shakirova
2000,15,Nicole Kubik
2000,14,Katy Steding
2000,13,Olga Firsova
2000,12,Naomi Mullitauaopele
2000,11,Summer Erb
2000,10,Maylana Martin
2000,9,Kamila Vodichkova
2000,8,Tamicha Jackson
2000,7,Lynn Pride
2000,6,Betty Lennox
2000,5,Grace Daley
2000,4,Cintia dos Santos
2000,3,Edwina Brown
2000,2,Tausha Mills
2000,1,Ann Wauters
2001,64,Beth Record
2001,63,Kristen Clement
2001,62,Katie Smrcka-Duffy
2001,61,Megan Franza
2001,60,Tara Mitchem
2001,59,Erin Batth
2001,58,Anne Thorius
2001,57,Taru Tuukkanen
2001,56,Cara Consuegra
2001,55,Megan Taylor
2001,54,Kelly Santos
2001,53,Carolyn Moos
2001,52,Natasha Pointer
2001,51,April Brown
2001,50,Reshea Bristol
2001,49,Juana Brown
2001,48,Kelley Siemon
2001,47,Shala Crawford
2001,46,Maren Walseth
2001,45,Tere Williams
2001,44,Elena Karpova
2001,43,Angelina Wolvert
2001,42,Jaclyn Johnson
2001,41,Jamie Lewis
2001,40,Shea Ralph
2001,39,Tombi Bell
2001,38,Svetlana Volnaya
2001,37,Levys Torres
2001,36,Rasheeda Clark
2001,35,Marlena Williams
2001,34,Jennifer Phillips
2001,33,ShaRae Mansfield
2001,32,Nicole Levandusky
2001,31,Tynesha Lewis
2001,30,Jackie Moore
2001,29,Ilona Korstine
2001,28,Janell Burse
2001,27,Jaynetta Saunders
2001,26,Brooke Wyckoff
2001,25,Tamara Stocks
2001,24,Michaela Pavlickova
2001,23,Erin Buescher
2001,22,Jae Kingi
2001,21,Georgia Schweitzer
2001,20,Jenny Mowe
2001,19,Niele Ivey
2001,18,Tammy Sutton-Brown
2001,17,Semeka Randall
2001,16,Camille Cooper
2001,15,Amanda Lassiter
2001,14,Kelly Schumacher
2001,13,Kristen Veal
2001,12,LaQuanda Barksdale
2001,11,Penny Taylor
2001,10,Katie Douglas
2001,9,Coco Miller
2001,8,Marie Ferdinand
2001,7,Svetlana Abrosimova
2001,6,Deanna Nolan
2001,5,Ruth Riley
2001,4,Jackie Stiles
2001,3,Tamika Catchings
2001,2,Kelly Miller
2001,1,Lauren Jackson
2002,64,Tiffany Thompson
2002,63,Marché Strickland
2002,62,Dee Dee Warley
2002,61,Jerkisha Dosty
2002,60,Elizabeth Pickney
2002,59,Jaclyn Winfield
2002,58,Cori Enghusen
2002,57,Jessie Stomski
2002,56,Amba Kongolo
2002,55,Tomeka Brown
2002,54,Shárron Francis
2002,53,Monique Cardenas
2002,52,Jillian Danker
2002,51,Jermisha Dosty
2002,50,Melody Johnson
2002,49,LaKeisha Taylor
2002,48,Rashana Barnes
2002,47,Ericka Haney
2002,46,Tracy Gahan
2002,45,Jerica Watson
2002,44,Alayne Ingram
2002,43,Edmarie Lumbsley
2002,42,Shondra Johnson
2002,41,Edniesha Curry
2002,40,Kayte Christensen
2002,39,Saundra Jackson
2002,38,Lindsey Meder
2002,37,Mandy Nightingale
2002,36,Teresa Geter
2002,35,Takeisha Lewis
2002,34,Kelly Komara
2002,33,LaNisha Cartwell
2002,32,Jackie Higgins
2002,31,Angie Welle
2002,30,Gergana Slavtcheva
2002,29,Lindsey Yamasaki
2002,28,Felicia Ragland
2002,27,Andrea Gardner
2002,26,Linda Fröhlich
2002,25,Tootie Shaw
2002,24,Brandi McCain
2002,23,Davalyn Cunningham
2002,22,Kathy Wambe
2002,21,Jill Chapman
2002,20,Ayana Walker
2002,19,Lucienne Berthieu
2002,18,Lenae Williams
2002,17,Zuzi Klimesova
2002,16,Rosalind Ross
2002,15,Tamara Moore
2002,14,LaNeishea Caufield
2002,13,Tawana McDonald
2002,12,Hamchétou Maïga
2002,11,Danielle Crockrom
2002,10,Michelle Snow
2002,9,Shaunzinski Gortman
2002,8,Deanna Jackson
2002,7,Sheila Lambert
2002,6,Tamika Williams
2002,5,Nikki Teasley
2002,4,Asjha Jones
2002,3,Stacey Dales-Schuman
2002,2,Swin Cash
2002,1,Sue Bird
2003,42,Mary Jo Noon
2003,41,Oksana Rakhmatulina
2003,40,Brooke Armistead
2003,39,Nicole Kaczmarski
2003,38,Constance Jinks
2003,37,Chrissy Ford
2003,36,Tamara Bowie
2003,35,Ashley McElhiney
2003,34,Lindsey Wilson
2003,33,Marion Jones
2003,32,Trish Juhline
2003,31,Telisha Quarles
2003,30,Shaquala Williams
2003,29,Carla Bennett
2003,28,Syreeta Bromfield
2003,27,Schuye LaRue
2003,26,K.B. Sharp
2003,25,Ke-Ke Tardy
2003,24,Sonja Mallory
2003,23,Dana Cherry
2003,22,Suzy Batkovic
2003,21,Zuzana Zirkova
2003,20,DeTrina White
2003,19,Lori Nero
2003,18,Jordan Adams
2003,17,Erin Thorn
2003,16,Petra Uihelyi
2003,15,Jennifer Butler
2003,14,Teresa Edwards
2003,13,Courtney Coleman
2003,12,Allison Curtin
2003,11,Coretta Brown
2003,10,Molly Creamer
2003,9,Jocelyn Penn
2003,8,Jung Sun-Min
2003,7,Aiysha Smith
2003,6,Gwen Jackson
2003,5,Kara Lawson
2003,4,Plenette Pierson
2003,3,Cheryl Ford
2003,2,Chantelle Anderson
2003,1,LaToya Thomas
2004,38,Kate Bulger
2004,37,Stacy Stephens
2004,36,Nuria Martinez
2004,35,Jia Perkins
2004,34,Toccara Williams
2004,33,Amber Jacobs
2004,32,Jennifer Smith
2004,31,Ieva Kublina
2004,30,Cathy Joens
2004,29,Candace Futrell
2004,28,Evan Unrau
2004,27,Maria Villarroel
2004,26,Lindsay Taylor
2004,25,Doneeka Hodges
2004,24,Ugo Oha
2004,23,Erika Valek
2004,22,Jenni Benningfield
2004,21,Cindy Dallas
2004,20,Tasha Butts
2004,19,Catrina Frierson
2004,18,Kelly Mazzante
2004,17,Amisha Carter
2004,16,Jessica Brungo
2004,15,Kaayla Chones
2004,14,Ashley Robinson
2004,13,Shereka Wright
2004,12,Christi Thomas
2004,11,Iciss Tillis
2004,10,Rebekkah Brunson
2004,9,Ebony Hoffman
2004,8,Chandi Jones
2004,7,Vanessa Hayden
2004,6,Nicole Ohlde
2004,5,Shameka Christon
2004,4,Lindsay Whalen
2004,3,Nicole Powell
2004,2,Alana Beard
2004,1,Diana Taurasi
2005,39,Heather Schreiber
2005,38,Steffanie Blackmon
2005,37,Monique Bivins
2005,36,Rebecca Richman
2005,35,Cisti Greenwalt
2005,34,Megan Mahoney
2005,33,Jenni Lingor
2005,32,Tashia Morehead
2005,31,Jamie Carey
2005,30,Anne O’Neil
2005,29,Ashley Earley
2005,28,Jenni Dant
2005,27,Catherine Kraayeveld
2005,26,DeeDee Wheeler
2005,25,Ashley Battle
2005,24,Jessica Moore
2005,23,Tabitha Pool
2005,22,Chelsea Newton
2005,21,Erin Phillips
2005,20,Nikita Bell
2005,19,Erica Taylor
2005,18,Angelina Williams
2005,17,Jacqueline Batteast
2005,16,Yolanda Paige
2005,15,Roneeka Hodges
2005,14,Shyra Ely
2005,13,Dionnah Jackson
2005,12,Tanisha Wright
2005,11,Kristen Mann
2005,10,Loree Moore
2005,9,Kristin Haynie
2005,8,Katie Feenstra
2005,7,Kara Braxton
2005,6,Temeka Johnson
2005,5,Sancho Lyttle
2005,4,Kendra Wecker
2005,3,Sandora Irvin
2005,2,Tan White
2005,1,Janel McCarville
2006,42,Marita Payne
2006,41,Lamisha Augustine
2006,40,Marina Kuzina
2006,39,Erin Grant
2006,38,Jessica Foley
2006,37,Christelle N’Garsanet
2006,36,Tiffany Porter-Talbert
2006,35,Zane Teilane
2006,34,Kerri Gardin
2006,33,Miriam Sy
2006,32,Crystal Smith
2006,31,Megan Duffy
2006,30,Khara Smith
2006,29,Tiffany Stansbury
2006,28,Debbie Merrill
2006,27,LaToya Bond
2006,26,Kasha Terry
2006,25,Dalila Eshe
2006,24,Ranae Camino
2006,23,Brooke Queenan
2006,22,Willnett Crockett
2006,21,Mistie Williams
2006,20,Jennifer Harris
2006,19,Nikki Blue
2006,18,Liz Shimek
2006,17,Ambrosia Anderson
2006,16,Shanna Zolman
2006,15,Ann Strother
2006,14,Scholanda Hoston
2006,13,Kim Smith
2006,12,Sherill Baker
2006,11,Barbara Turner
2006,10,Tye’sha Fluker
2006,9,La’Tangela Atkinson
2006,8,Tamara James
2006,7,Shona Thorburn
2006,6,Candice Dupree
2006,5,Lisa Willis
2006,4,Sophia Young
2006,3,Monique Currie
2006,2,Cappie Pondexter
2006,1,Seimone Augustus
2007,38,Kiera Hardy
2007,37,Emily Westerberg
2007,36,Selection voided–player ruled ineligible
2007,35,Ashley Key
2007,34,Kristen Newlin
2007,33,Brandie Hoskins
2007,32,Gillian Goring
2007,31,Chrissy Givens
2007,30,Nare Diawara
2007,29,Martina Weber
2007,28,Leah Rush
2007,27,Jenna Rubino
2007,26,Cori Chambers
2007,25,Sidney Spencer
2007,24,Kathrin Ress
2007,23,Brooke Smith
2007,22,Lyndsey Medders
2007,21,Jessica Dickson
2007,20,Stephanie Raymond
2007,19,Megan Vogel
2007,18,Tyresa Smith
2007,17,Camille Little
2007,16,Shay Doron
2007,15,Eshaya Murphy
2007,14,Dee Davis
2007,13,Sandrine Gruda
2007,12,Kamesha Hairston
2007,11,Ivory Latta
2007,10,Carla Thomas
2007,9,Alison Bales
2007,8,Ashley Shields
2007,7,Katie Gearlds
2007,6,Bernice Mosby
2007,5,Tiffany Jackson
2007,4,Noelle Quinn
2007,3,Armintie Price
2007,2,Jessica Davenport
2007,1,Lindsey Harding
2008,43,Charel Allen
